,Title,Console,Genre,Critic_Score,Total_Sales,NorthAmerica_Sales,Japan_Sales,EuropeAndAfrica_Sales,World_Sales,Release_Year
10983,Ephemeral Fantasia,PS2,Role-Playing,5.7,0.08,0.04,0.0,0.03,0.01,2001
10984,Koudelka,PS,Role-Playing,6.5,0.09,0.05,0.0,0.03,0.01,1999
10985,Lost Dimension,PS3,Role-Playing,6.5,0.07999999999999999,0.06,0.0,0.01,0.01,2015
10986,RockMan EXE 4.5 Real Operation,GBA,Role-Playing,6.5,0.08,0.0,0.08,0.0,0.0,2004
10987,Super Robot Taisen OG Saga: Endless Frontier,DS,Role-Playing,6.5,0.08,0.07,0.0,0.0,0.01,2009
10988,Ogre Battle Series: Tactics Ogre,PS,Role-Playing,7.9,0.08,0.04,0.0,0.03,0.01,1998
10989,Atelier Firis: The Alchemist and the Mysterious Journey,PS4,Role-Playing,7.9,0.08,0.02,0.05,0.0,0.01,2017
10990,Final Fantasy XI: Vana'diel Collection 2008,PS2,Role-Playing,7.9,0.08,0.03,0.01,0.03,0.01,2007
10991,SaGa 3: Jikuu no Hasha - Shadow or Light,DS,Role-Playing,7.9,0.08,0.0,0.08,0.0,0.0,2011
10992,Shining Force: Resurrection of the Dark Dragon,GBA,Role-Playing,7.8,0.08,0.06,0.0,0.02,0.0,2004
10993,Shining Soul II,GBA,Role-Playing,7.8,0.08,0.06,0.0,0.02,0.0,2004
10994,Shin Megami Tensei: Digital Devil Saga 2,PS2,Role-Playing,8.1,0.08,0.04,0.0,0.03,0.01,2005
10995,Samurai Warriors Chronicles 3,3DS,Action,8.1,0.08,0.0,0.08,0.0,0.0,2015
10996,Bladestorm: Nightmare,XOne,Action,8.1,0.09,0.06,0.0,0.02,0.01,2015
10997,Jaws: Ultimate Predator,Wii,Action,8.1,0.09,0.08,0.0,0.0,0.01,2011
10998,Ghostbusters (2016),PS4,Action,8.1,0.09000000000000001,0.07,0.0,0.0,0.02,2016
10999,Rescue Heroes: Billy Blazes,GBA,Action,8.1,0.08,0.06,0.0,0.02,0.0,2003
